2023-05-09 14:20:25,228 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.13534, 'ap': 27869.71, 'as': 0.07727, 't': Timestamp(seconds=1683660025, nanoseconds=259479577)}
2023-05-09 14:20:25,234 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.13534, 'ap': 27869.72, 'as': 0.19, 't': Timestamp(seconds=1683660025, nanoseconds=265431203)}
2023-05-09 14:20:25,559 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.13534, 'ap': 27869.71, 'as': 0.07727, 't': Timestamp(seconds=1683660025, nanoseconds=589711532)}
2023-05-09 14:20:25,564 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.13534, 'ap': 27869.72, 'as': 0.19, 't': Timestamp(seconds=1683660025, nanoseconds=595189796)}
2023-05-09 14:20:25,785 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.13534, 'ap': 27869.71, 'as': 0.07727, 't': Timestamp(seconds=1683660025, nanoseconds=712976427)}
2023-05-09 14:20:25,785 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.13534, 'ap': 27869.72, 'as': 0.19, 't': Timestamp(seconds=1683660025, nanoseconds=718933892)}
2023-05-09 14:20:25,785 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.13534, 'ap': 27869.71, 'as': 0.07727, 't': Timestamp(seconds=1683660025, nanoseconds=727835749)}
2023-05-09 14:20:25,785 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.13534, 'ap': 27869.72, 'as': 0.19, 't': Timestamp(seconds=1683660025, nanoseconds=734169120)}
2023-05-09 14:20:25,786 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00532, 'ap': 27869.72, 'as': 0.19, 't': Timestamp(seconds=1683660025, nanoseconds=746971535)}
2023-05-09 14:20:25,786 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00532, 'ap': 27869.71, 'as': 0.07727, 't': Timestamp(seconds=1683660025, nanoseconds=749811331)}
2023-05-09 14:20:25,786 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00532, 'ap': 27869.29, 'as': 0.19, 't': Timestamp(seconds=1683660025, nanoseconds=755938097)}
2023-05-09 14:20:25,903 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00532, 'ap': 27869.29, 'as': 0.26727, 't': Timestamp(seconds=1683660025, nanoseconds=934548873)}
2023-05-09 14:20:25,909 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00532, 'ap': 27869.29, 'as': 0.19, 't': Timestamp(seconds=1683660025, nanoseconds=939977303)}
2023-05-09 14:20:25,912 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00532, 'ap': 27869.28, 'as': 0.07727, 't': Timestamp(seconds=1683660025, nanoseconds=943342661)}
2023-05-09 14:20:25,917 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00532, 'ap': 27868.98, 'as': 0.19, 't': Timestamp(seconds=1683660025, nanoseconds=948657848)}
2023-05-09 14:20:26,023 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00132, 'ap': 27868.98, 'as': 0.19, 't': Timestamp(seconds=1683660026, nanoseconds=53319888)}
2023-05-09 14:20:26,023 - INFO - trade {'T': 't', 'S': 'BTC/USD', 'p': 27860.79, 's': 0.004, 't': Timestamp(seconds=1683660026, nanoseconds=46000000), 'i': 16579690, 'tks': 'S'}
2023-05-09 14:20:26,028 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00132, 'ap': 27868.97, 'as': 0.07727, 't': Timestamp(seconds=1683660026, nanoseconds=58750961)}
2023-05-09 14:20:26,037 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00132, 'ap': 27868.22, 'as': 0.19, 't': Timestamp(seconds=1683660026, nanoseconds=67923973)}
2023-05-09 14:20:26,043 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00132, 'ap': 27868.21, 'as': 0.07727, 't': Timestamp(seconds=1683660026, nanoseconds=74156410)}
2023-05-09 14:20:26,049 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00132, 'ap': 27867.66, 'as': 0.19, 't': Timestamp(seconds=1683660026, nanoseconds=80521259)}
2023-05-09 14:20:26,056 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00132, 'ap': 27867.65, 'as': 0.07727, 't': Timestamp(seconds=1683660026, nanoseconds=86830093)}
2023-05-09 14:20:26,062 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00132, 'ap': 27867.05, 'as': 0.19, 't': Timestamp(seconds=1683660026, nanoseconds=92969021)}
2023-05-09 14:20:26,063 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00132, 'ap': 27866.74, 'as': 0.19, 't': Timestamp(seconds=1683660026, nanoseconds=94251758)}
2023-05-09 14:20:26,091 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00132, 'ap': 27866.01, 'as': 0.00532, 't': Timestamp(seconds=1683660026, nanoseconds=122779364)}
2023-05-09 14:20:29,471 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.13717, 'ap': 27866.01, 'as': 0.00532, 't': Timestamp(seconds=1683660029, nanoseconds=462218788)}
2023-05-09 14:20:30,353 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00132, 'ap': 27866.01, 'as': 0.00532, 't': Timestamp(seconds=1683660030, nanoseconds=384155882)}
2023-05-09 14:20:33,158 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.17558, 'ap': 27866.01, 'as': 0.00532, 't': Timestamp(seconds=1683660033, nanoseconds=165108645)}
2023-05-09 14:20:34,062 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00132, 'ap': 27866.01, 'as': 0.00532, 't': Timestamp(seconds=1683660034, nanoseconds=93094313)}
2023-05-09 14:20:36,900 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.16303, 'ap': 27866.01, 'as': 0.00532, 't': Timestamp(seconds=1683660036, nanoseconds=881548559)}
2023-05-09 14:20:38,704 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00132, 'ap': 27866.01, 'as': 0.00532, 't': Timestamp(seconds=1683660038, nanoseconds=735742123)}
2023-05-09 14:20:41,474 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.17298, 'ap': 27866.01, 'as': 0.00532, 't': Timestamp(seconds=1683660041, nanoseconds=505389149)}
2023-05-09 14:20:42,476 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00132, 'ap': 27866.01, 'as': 0.00532, 't': Timestamp(seconds=1683660042, nanoseconds=434298496)}
2023-05-09 14:20:44,114 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.01566, 'ap': 27866.01, 'as': 0.00532, 't': Timestamp(seconds=1683660044, nanoseconds=47947190)}
2023-05-09 14:20:46,930 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00132, 'ap': 27866.01, 'as': 0.00532, 't': Timestamp(seconds=1683660046, nanoseconds=947812471)}
2023-05-09 14:20:47,017 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00132, 'ap': 27868.8, 'as': 0.18098, 't': Timestamp(seconds=1683660047, nanoseconds=48027138)}
